,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao
232,2024-07-13 01:23:00,130.56,130.66,130.67,130.56,426528,55609344.0,1720804980,,,,,,,,,,,96.00197182724958,81.71111270463184,0.2622857142857181,0.9221674598541654,32.95973675489838
233,2024-07-13 01:24:00,130.655,130.69,130.69,130.63,408112,53225472.0,1720805040,,,,,,,,,,,97.964342315256,81.71111270463184,0.2622857142857181,0.9221674598541654,38.05466886263294
234,2024-07-13 01:25:00,130.73,130.735,130.77,130.73,333744,43546624.0,1720805100,,,,,,,,,,,98.74073539235877,85.62607975836853,0.26464285714286007,0.9221674598541654,40.893927666601705
235,2024-07-13 01:26:00,130.699,130.72,130.761,130.699,261392,34035712.0,1720805160,,,,,,,,,,,98.99699165828036,85.62607975836853,0.26464285714286007,0.9221674598541654,40.28443673553574
236,2024-07-13 01:27:00,130.73,130.81,130.82,130.718,327696,42698752.0,1720805220,,,,,,,,,,,100.28776915597538,85.62607975836853,0.26464285714286007,0.9221674598541654,38.54748443013624
237,2024-07-13 01:28:00,130.805,130.76,130.845,130.76,562384,73404416.0,1720805280,,,,,,,,,,,99.58715885706641,85.62607975836853,0.26464285714286007,0.9221674598541654,38.94016396134873
238,2024-07-13 01:29:00,130.761,130.848,130.855,130.761,248608,32409600.0,1720805340,,,,,,,,,,,100.83164177884652,85.62607975836853,0.26464285714286007,0.9221674598541654,34.82724296673205
239,2024-07-13 01:30:00,130.88,130.94,130.94,130.88,398848,52027392.0,1720805400,,,,,,,,,,,102.07638908091496,90.12258135582665,0.24935714285714386,3.31576768669467,35.71143585158953
240,2024-07-13 01:31:00,130.9,130.91,130.955,130.9,528384,68995072.0,1720805460,,,,,,,,,,,102.13372241106686,90.12258135582665,0.24935714285714386,3.31576768669467,36.06112879141533
241,2024-07-13 01:32:00,130.83,130.795,130.85,130.785,314656,41031680.0,1720805520,,,,,,,,,,,99.54959381515556,90.12258135582665,0.24935714285714386,3.31576768669467,33.54026117182002
242,2024-07-13 01:33:00,130.839,130.92,130.975,130.839,606416,79177728.0,1720805580,,,,,,,,,,,99.61989189938396,90.12258135582665,0.24935714285714386,3.31576768669467,24.9947537178001
243,2024-07-13 01:34:00,130.965,130.99,130.99,130.955,357584,46747648.0,1720805640,,,,,,,,,,,100.86971659152093,90.12258135582665,0.24935714285714386,3.31576768669467,24.98047601474854
244,2024-07-13 01:35:00,130.975,131.08,131.08,130.96,926512,121102336.0,1720805700,,,,,,,,,,,101.95458736070901,94.51660493063099,0.23792857142857265,3.31576768669467,27.643431345616033
245,2024-07-13 01:36:00,131.095,131.137,131.16,131.044,603920,78876672.0,1720805760,,,,,,,,,,,102.39706064024037,94.51660493063099,0.23792857142857265,3.31576768669467,28.79290931963584
246,2024-07-13 01:37:00,131.12,131.1,131.12,131.0,449456,58654720.0,1720805820,,,,,,,,,,,101.96585791820092,94.51660493063099,0.23792857142857265,3.31576768669467,27.909907103488667
247,2024-07-13 01:38:00,131.07,130.91,131.085,130.91,433056,56528896.0,1720805880,,,,,,,,,,,97.47163261792741,94.51660493063099,0.23792857142857265,3.31576768669467,24.955747780093986
248,2024-07-13 01:39:00,130.962,131.055,131.055,130.962,288928,37763072.0,1720805940,,,,,,,,,,,96.55666425633143,94.51660493063099,0.23792857142857265,3.31576768669467,9.660971646616465
249,2024-07-13 01:40:00,131.054,131.04,131.054,130.96,232720,30341120.0,1720806000,,,,,,,,,,,95.40039702943997,97.49666847329696,0.23971428571428735,3.31576768669467,9.27272477227009
250,2024-07-13 01:41:00,131.036,130.97,131.036,130.955,347952,45455360.0,1720806060,,,,,,,,,,,92.85055628829079,97.49666847329696,0.23971428571428735,3.31576768669467,7.787077370062389
251,2024-07-13 01:42:00,130.96,131.036,131.07,130.96,229392,29943808.0,1720806120,,,,,,,,,,,91.98348405866471,97.49666847329696,0.23971428571428735,3.31576768669467,1.1922943000468273
252,2024-07-13 01:43:00,131.055,130.97,131.055,130.97,357584,46708736.0,1720806180,,,,,,,,,,,89.78464570386723,97.49666847329696,0.23971428571428735,3.31576768669467,1.1568543389511838
253,2024-07-13 01:44:00,130.96,131.049,131.079,130.96,407008,53176320.0,1720806240,,,,,,,,,,,89.51611288345634,97.49666847329696,0.23971428571428735,3.31576768669467,-5.499794446283084
254,2024-07-13 01:45:00,131.085,131.079,131.09,131.066,423600,55392256.0,1720806300,,,,,,,,,,,89.91755005869354,100.3668787257494,0.23521428571428618,3.31576768669467,-2.949744067495978
255,2024-07-13 01:46:00,131.02,131.08,131.08,131.0,305520,39907328.0,1720806360,,,,,,,,,,,90.29308105143343,100.3668787257494,0.23521428571428618,3.31576768669467,1.4009700340188387
256,2024-07-13 01:47:00,131.061,131.24,131.24,131.061,887920,116180992.0,1720806420,,,,,,,,,,,92.34125475549192,100.3668787257494,0.23521428571428618,3.31576768669467,4.207973969550711
257,2024-07-13 01:48:00,131.195,131.26,131.26,131.135,430944,56293376.0,1720806480,,,,,,,,,,,94.15948049433621,100.3668787257494,0.23521428571428618,3.31576768669467,12.834173054797883
258,2024-07-13 01:49:00,131.239,131.225,131.24,131.22,400704,52383744.0,1720806540,,,,,,,,,,,95.07182919544653,100.3668787257494,0.23521428571428618,3.31576768669467,17.773122568779037
259,2024-07-13 01:50:00,131.19,131.21,131.255,131.18,364784,47677440.0,1720806600,,,,,,,,,,,95.57334617867969,103.09040478871681,0.2202857142857145,3.31576768669467,17.87178469678379
260,2024-07-13 01:51:00,131.2,131.25,131.25,131.14,453744,59340800.0,1720806660,,,,,,,,,,,96.78840163638273,103.09040478871681,0.2202857142857145,3.31576768669467,16.498222412425164
261,2024-07-13 01:52:00,131.24,131.25,131.259,131.24,477936,62464000.0,1720806720,,,,,,,,,,,97.85612995890631,103.09040478871681,0.2202857142857145,3.31576768669467,18.326053803135494
