,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
386,2024-04-09 03:57:00,71.805,71.8,71.805,71.8,44417.0,1712606220,,,,,,,,,,,70.15916143913702,52.48049839666023,4.68460390508605,19.03659244883152,0,0,101545.728,,,71.805:708.0;,148.68000000000563,71.83;
322,2024-04-13 02:53:00,71.625,71.605,71.625,71.605,25440.0,1712947980,,,,,1.0,,1.0,,1.0,,-17.28791328251475,4.95196108877218,1.7324648503262807,-74.91320580308364,1,0,50835.228,71.625:708.0;,71.625:708.0;,,0.0,71.625;
344,2024-04-13 03:15:00,71.465,71.465,71.47,71.46,36944.0,1712949300,,,,,,,,,,,-4.946084318733025,1.399754741212757,-3.501194450504599,-75.36148939939223,0,0,101432.448,,,71.465:708.0;,-113.27999999999759,
14,2024-04-15 21:45:00,70.985,71.16,71.16,70.985,95683.0,1713188700,1.0,,,,,,,,,,1.714575507121907,9.608579892372063,-12.612392514279051,-76.16597285833164,1,0,50749.158,70.985:714.0;,70.985:714.0;,,0.0,70.985;
55,2024-04-15 22:26:00,71.215,71.25,71.25,71.215,28100.0,1713191160,,,,,,,,,,,80.07797209350359,28.86186628990389,-14.532410204853493,8.169496297521258,0,0,101596.668,,,71.215:714.0;,164.22000000000284,
242,2024-04-16 01:33:00,70.435,70.435,70.435,70.42,53556.0,1713202380,,,,,1.0,,,,1.0,,-0.6551581664470767,-1.1499080671591742,-23.39626604684273,-75.43760103480925,1,0,50883.468,70.435:720.0;,70.435:720.0;,,0.0,70.435;
262,2024-04-16 01:53:00,70.42,70.46,70.46,70.42,19722.0,1713203580,,,,,,,,,,,16.65584597675895,-0.6534266083234357,-23.39626604684273,-51.17745691053042,0,0,101585.868,,,70.42:720.0;,-10.80000000000041,
336,2024-04-16 03:07:00,70.205,70.19,70.205,70.19,14940.0,1713208020,,,,,,,1.0,,,,10.524688953392,-1.3447556551433806,-25.11427893704533,-74.60690875588809,1,0,50897.858,70.205:722.0;,70.205:722.0;,,0.0,70.205;
386,2024-04-16 03:57:00,70.71,70.715,70.715,70.695,113604.0,1713211020,,,,,,,,,,,120.76578412626036,23.756257938516,-25.06142663242012,56.62492389894449,0,0,101950.478,,,70.71:722.0;,364.6099999999967,70.72;
236,2024-04-19 01:27:00,68.935,68.935,68.94,68.935,35697.0,1713461220,1.0,,,,,,,,,,6.4484318356646,18.225120293217515,15.293051977445366,-17.47913734485777,1,0,51007.513,68.935:739.0;,68.935:739.0;,,0.0,68.935;
279,2024-04-19 02:10:00,68.82,68.833,68.84,68.82,9705.0,1713463800,,,,,,,,,,,32.82117268455349,-9.65890940884836,14.458902668500889,-74.05997472769874,0,0,101865.49299999999,,,68.82:739.0;,-84.98500000000672,
79,2024-05-22 22:50:00,83.59,83.57,83.62,83.57,46914.0,1716389400,,,,,1.0,,,,1.0,,-6.290301750757045,0.6558186397014509,3.2815907151813235,-76.38118030567534,1,0,50959.18299999998,83.59:609.0;,83.59:609.0;,,0.0,83.59;
206,2024-05-23 00:57:00,83.56,83.64,83.64,83.56,59171.0,1716397020,,,,,,,,,,,10.603707463761964,2.0173415301638187,-14.148141433848252,-45.22978729936442,0,0,101847.22299999998,,,83.56:609.0;,-18.270000000000692,
213,2024-05-23 01:04:00,83.335,83.33,83.335,83.25,57129.0,1716397440,,,,,,,1.0,,,,1.035407122674897,0.0670098753364953,-17.65808032020321,-74.03587853782945,1,0,50929.537999999986,83.335:611.0;,83.335:611.0;,,0.0,83.335;
348,2024-05-23 03:19:00,82.955,82.943,82.985,82.943,128971.0,1716405540,,,,,,,,,,,22.80442710752878,6.869942843645944,-25.91239181858616,-76.54886808750327,0,0,101615.04299999998,,,82.955:611.0;,-232.17999999999722,
384,2024-05-23 03:55:00,82.809,82.865,82.865,82.795,109264.0,1716407700,,,,,1.0,,,,,,4.689261472502309,7.1238739055199005,-27.0218852961108,-74.66576307023064,1,0,50687.50799999998,82.809:615.0;,82.809:615.0;,,0.0,82.809;
386,2024-05-23 03:57:00,82.82,82.795,82.85,82.795,136744.0,1716407820,,,,,,,,,,,3.9539902242626814,7.1238739055199005,-27.0218852961108,-66.74672734708459,0,0,101621.80799999998,,,82.82:615.0;,6.764999999997343,82.889;
