,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
5,2023-10-23 21:36:00,100.202,100.08,100.202,100.009,434631,1698068160,1.0,,,,,,,,,,12.896083280493102,16.691732220604884,1.1700087864606274,-73.8481794234577,1,0,50107.79699999998,100.202:500.0;,100.202:500.0;,,0.0,100.202;
16,2023-10-23 21:47:00,99.7,99.38,99.7,99.38,314698,1698068820,,,,,,,,,,,-18.386652046326333,10.270469432594616,1.1700087864606274,-77.3717348263228,0,0,99957.79699999998,,,99.7:500.0;,-250.99999999999767,
91,2023-10-25 23:02:00,99.082,98.98,99.082,98.98,113454,1698246120,,,,,,,1.0,,,,0.7394281487708056,-5.149008180477111,6.506580231293881,-10.559955312977412,1,0,50020.46899999998,99.082:504.0;,99.082:504.0;,,0.0,99.082;
113,2023-10-25 23:24:00,98.8,98.8,98.865,98.8,221063,1698247440,,,,,,,,,,,18.07300148077236,-9.57794368847074,6.506580231293881,-61.71396675323604,0,0,99815.66899999998,,,98.8:504.0;,-142.12799999999822,
117,2023-10-25 23:28:00,98.63,98.73,98.77,98.63,251347,1698247680,,,,,,,,,1.0,,10.265717221493553,-12.139615719235366,6.506580231293881,-74.48276005786524,1,0,49908.88899999998,98.63:506.0;,98.63:506.0;,,0.0,98.63;
140,2023-10-25 23:51:00,98.418,98.31,98.418,98.26,215144,1698249060,,,,,,,,,,,18.09119128991027,-15.236283575704276,4.110194654677386,-67.0557571746958,0,0,99708.39699999998,,,98.418:506.0;,-107.27199999999448,
256,2023-10-26 01:47:00,95.855,95.83,95.88,95.83,117330,1698256020,,,1.0,,1.0,,,,,,-1.6705367938248423,-11.45913962206501,-4.594214477780916,-73.70538846035299,1,0,49767.94199999998,95.855:521.0;,95.855:521.0;,,0.0,95.855;
306,2023-10-26 02:37:00,95.9,95.851,95.9,95.834,145156,1698259020,,,,,,,,,,,77.95141848047886,4.0700947977721,-6.126714663400321,16.97810633298662,0,0,99731.84199999998,,,95.9:521.0;,23.44500000000089,
176,2024-01-31 01:27:00,173.56,173.32,173.772,173.32,450756,1706635620,,,,,,,1.0,,,,-20.673682056541608,18.528427002820607,17.405262175828085,-78.59631934701301,1,0,49920.121999999974,173.56:287.0;,173.56:287.0;,,0.0,173.56;
178,2024-01-31 01:29:00,173.704,173.87,173.87,173.635,293084,1706635740,,,,,1.0,,,,,,-18.714608044142395,18.528427002820607,17.405262175828085,-78.10924139477176,1,0,67.07399999997142,173.56:287.0;173.704:287.0;,173.704:287.0;,,0.0,173.704;173.704;
212,2024-01-31 02:03:00,172.73,172.468,172.73,172.345,371036,1706637780,,,,,,,,,,,9.043521827599012,-3.2321974988014404,7.285896574139386,-46.44915202817951,0,0,99214.09399999995,,,172.73:287.0;172.73:287.0;,-517.7480000000087,
264,2024-01-31 02:55:00,170.22,170.43,170.43,170.04,358208,1706640900,,,1.0,,,,,,,,4.563868913017743,-10.86616081377604,3.4363040238959,-3.350646555155889,1,0,49509.853999999956,170.22:292.0;,170.22:292.0;,,0.0,170.22;
289,2024-01-31 03:20:00,169.71,169.99,169.99,169.71,459600,1706642400,,,,,,,,,,,34.3044456583812,-6.610134751241027,0.4047910040660269,-42.28202193178602,0,0,99065.17399999996,,,169.71:292.0;,-148.91999999999734,
138,2024-02-07 00:49:00,166.702,166.491,166.702,166.491,223932,1707238140,,,,,1.0,,,,,,-4.36814387423739,-9.716972341795824,19.42282872591636,-76.9965275682219,1,0,49554.67999999996,166.702:297.0;,166.702:297.0;,,0.0,166.702;
169,2024-02-07 01:20:00,165.67,165.719,165.794,165.656,213376,1707240000,,,,,,,,,,,-1.1003018971293417,-11.32551233448246,11.61883206292481,-75.11133813069824,0,0,98758.66999999995,,,165.67:297.0;,-306.5040000000032,
148,2024-02-21 00:59:00,163.13,163.266,163.3,163.13,150272,1708448340,,,1.0,,,,,,,,1.7388757973056954,-3.875066832773875,14.56042292838478,-75.85846342300681,1,0,49493.40999999995,163.13:302.0;,163.13:302.0;,,0.0,163.13;
158,2024-02-21 01:09:00,162.385,162.02,162.385,162.02,273116,1708448940,,,,,,,,,,,3.1477774285357825,-4.656613337870262,7.750926411788953,-74.71761504560551,0,0,98533.67999999995,,,162.385:302.0;,-224.99000000000137,
359,2024-03-12 03:30:00,197.24,197.46,197.46,197.24,106760,1710185400,,,,,1.0,,,,,,-14.1761472620058,10.301584913514652,-20.939353054980018,-74.51612732506184,1,0,49420.91999999995,197.24:249.0;,197.24:249.0;,,0.0,197.24;
386,2024-03-12 03:57:00,197.99,197.91,198.121,197.91,198896,1710187020,,,,,,,,,,,81.49511686428188,18.80297094315277,-20.939353054980018,32.44047343687603,0,0,98720.42999999995,,,197.99:249.0;,186.75,198.543;
9,2024-03-12 21:40:00,196.85,196.32,196.855,196.17,423109,1710250800,,,,,,,1.0,,1.0,,26.999784993527623,17.530564699024836,-3.918684973801661,-73.91257109907922,1,0,49507.92999999995,196.85:250.0;,196.85:250.0;,,0.0,196.85;
14,2024-03-12 21:45:00,195.3,194.985,195.3,194.845,398026,1710251100,,,,,,,,,,,2.500704913935536,14.51474857114534,-3.918684973801661,-77.91562855814658,0,0,98332.92999999995,,,195.3:250.0;,-387.49999999999574,
20,2024-03-12 21:51:00,195.78,196.43,196.43,195.64,467059,1710251460,,,,,1.0,,,,,,-2.029171721718825,15.007432581095776,-3.918684973801661,-70.85860290641439,1,0,48996.36999999995,195.78:252.0;,195.78:252.0;,,0.0,195.78;
31,2024-03-12 22:02:00,197.76,198.29,198.29,197.76,266474,1710252120,,1.0,,,,,,,,,37.49299362540866,25.38439300974771,-3.6497839662550007,75.640685169768,0,1,73914.12999999995,195.78:126.0;,,197.76:126;,249.4799999999987,198.01;
43,2024-03-12 22:14:00,197.65,197.315,197.65,197.315,283209,1710252840,,,,,,,,,,,56.13589135531356,34.69800579577043,-3.6497839662550007,58.1644891312827,0,0,98818.02999999994,,,197.65:126.0;,235.62000000000057,
46,2024-03-13 22:17:00,193.74,192.89,193.74,192.72,630604,1710339420,,,,,,,1.0,,,,-9.137940720946707,7.930017418352293,19.01633858366704,-76.267981926428,1,0,49414.329999999936,193.74:255.0;,193.74:255.0;,,0.0,193.74;
84,2024-03-13 22:55:00,194.12,194.3,194.3,194.12,149116,1710341700,,,,,,,,,,,85.61761999740774,-10.86486928403221,16.63044202552407,79.44215448985219,0,0,98914.92999999993,,,194.12:255.0;,96.89999999999884,
224,2024-03-15 01:15:00,189.269,189.588,189.588,189.269,313968,1710436500,,,,,1.0,,,,,,-8.943914184708397,-7.57093568336667,3.077444843068413,-77.61653075194118,1,0,49515.72099999993,189.269:261.0;,189.269:261.0;,,0.0,189.269;
233,2024-03-15 01:24:00,188.665,188.74,188.84,188.665,213272,1710437040,,,,,,,1.0,,,,-9.345607196518031,-9.546639098662716,3.077444843068413,-72.50083220714879,1,0,85.49099999993632,189.269:261.0;188.665:262.0;,188.665:262.0;,,0.0,189.537;188.665;
241,2024-03-15 01:32:00,188.29,188.39,188.407,188.25,157492,1710437520,,,,,,,,,,,-3.066238402076958,-11.316754736739178,1.5097187397147067,-68.79078133360035,0,0,49229.18099999993,188.665:262.0;,,188.29:261.0;,-255.5190000000035,189.13;
250,2024-03-15 01:41:00,187.87,187.75,187.87,187.73,175056,1710438060,,,,,,,,,,,-1.5672240865877995,-12.47539208910539,1.5097187397147067,-68.43558560582672,0,0,98451.12099999993,,,187.87:262.0;,-208.28999999999672,
255,2024-03-15 01:46:00,187.13,186.49,187.13,186.49,418732,1710438360,,,1.0,,,,,,,,-2.70672041907342,-12.502001129360906,1.5097187397147067,-68.04833937345678,1,0,49048.80099999993,187.13:264.0;,187.13:264.0;,,0.0,187.13;
