,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
25,2024-04-02 21:56:00,118.01,118.05,118.13,118.01,17692.0,2088328.0,1712066160,,,,,,,,,,,38.51340984159064,11.48787053951429,0.5572857142857147,87.0548094304881,64.95751542809943,0,0,100740.94300000003,,,118.01:428.0;,344.1120000000009,
336,2024-04-05 03:07:00,118.125,118.15,118.16,118.125,4287.0,506528.0,1712257620,,,,,,,,,1.0,,2.3757228455867434,13.735026322894171,0.2061428571428568,62.495626659663614,-69.1829822662969,1,0,50419.69300000003,118.125:426.0;,118.125:426.0;,,0.0,118.125;
342,2024-04-05 03:13:00,118.045,118.06,118.06,118.035,7392.0,872672.0,1712257980,,,,,,,,,,,1.5151530025656896,9.26388691153184,0.2061428571428558,62.495626659663614,-74.1907456026636,0,0,100706.86300000003,,,118.045:426.0;,-34.07999999999927,
345,2024-04-05 03:16:00,117.93,117.93,117.93,117.93,4451.0,524928.0,1712258160,,,,,,,1.0,,,,2.245957907124426,5.558494590889154,0.2089999999999991,62.495626659663614,-70.52929309767364,1,0,50350.753000000026,117.93:427.0;,117.93:427.0;,,0.0,117.93;
353,2024-04-05 03:24:00,117.865,117.87,117.88,117.865,4601.0,542208.0,1712258640,,,,,,,,,,,3.512200574212501,1.6671938701595934,0.2093571428571416,62.495626659663614,-52.3363016050404,0,0,100679.10800000002,,,117.865:427.0;,-27.755000000005097,
105,2024-04-05 23:16:00,116.895,116.78,116.895,116.78,10066.0,1175736.0,1712330160,1.0,,,,,,,,,,-9.9521786867395,7.843021417444675,0.2809285714285729,17.134364777984246,-76.84112041523753,1,0,50414.25800000002,116.895:430.0;,116.895:430.0;,,0.0,116.895;
106,2024-04-05 23:17:00,116.76,116.705,116.76,116.705,11547.0,1348000.0,1712330220,,,,,,,,,,,-10.440079009976628,7.843021417444675,0.2809285714285729,17.134364777984246,-77.25440885997875,0,0,100621.05800000002,,,116.76:430.0;,-58.04999999999609,
113,2024-04-05 23:24:00,116.48,116.35,116.48,116.315,14801.0,1723296.0,1712330640,,,,,1.0,,,,,,-7.02864672047637,5.2620053834011244,0.276214285714287,17.134364777984246,-74.92854530712948,1,0,50301.69800000002,116.48:432.0;,116.48:432.0;,,0.0,116.48;
114,2024-04-05 23:25:00,116.349,116.31,116.35,116.3,17490.0,2034728.0,1712330700,,,,,,,,,,,-7.274728758851598,2.95879316396055,0.2505714285714303,17.134364777984246,-75.62774003791328,0,0,100564.46600000001,,,116.349:432.0;,-56.5920000000001,
87,2024-04-10 22:58:00,119.06,119.026,119.06,119.026,15078.0,1794816.0,1712761080,,,,,,,1.0,,,,13.139581199131868,-18.954693401061604,0.4960000000000012,103.12862877813076,-71.32878848632016,1,0,50321.146000000015,119.06:422.0;,119.06:422.0;,,0.0,119.06;
114,2024-04-10 23:25:00,119.35,119.33,119.35,119.29,5157.0,615520.0,1712762700,,,,,,,,,,,56.59854859698841,-27.20857684808641,0.3038571428571452,96.943566123642,79.05577217677747,0,0,100686.84600000002,,,119.35:422.0;,122.37999999999664,
203,2024-04-13 00:54:00,116.93,116.82,116.94,116.82,7069.0,826464.0,1712940840,,,,,1.0,,,,,,-0.1154909323383961,1.8253246927175013,0.206785714285714,29.803218729568187,-75.43436569594051,1,0,50406.94600000002,116.93:430.0;,116.93:430.0;,,0.0,116.93;
208,2024-04-13 00:59:00,116.815,116.96,116.96,116.815,7757.0,906688.0,1712941140,,,,,,,,,,,2.0193640804428057,0.1658319401548738,0.1917857142857144,29.803218729568187,-68.9274483594841,0,0,100637.39600000001,,,116.815:430.0;,-49.45000000000391,
366,2024-04-13 03:37:00,115.45,115.53,115.53,115.45,31651.0,3654464.0,1712950620,,,,,1.0,,,,,,1.3874279390261748,-5.904968279552129,0.1892142857142837,0.9071436888007298,-72.98947226211295,1,0,100637.39600000001,,,,0.0,
8,2024-04-15 21:39:00,114.895,114.92,115.1,114.895,45869.0,5273696.0,1713188340,1.0,,,,,,,,,,24.005346416640734,9.90163969040982,0.3637857142857135,-8.823049630686839,-64.98006727545935,1,0,50428.28100000001,114.895:437.0;,114.895:437.0;,,0.0,114.895;
10,2024-04-15 21:41:00,114.68,114.78,114.97,114.68,46472.0,5333960.0,1713188460,,,,,,,,,,,15.751301193647803,7.819600786710676,0.445928571428571,-8.823049630686839,-74.82166316652935,0,0,100543.44100000002,,,114.68:437.0;,-93.95499999999528,
13,2024-04-15 21:44:00,114.54,114.99,114.99,114.51,30306.0,3476592.0,1713188640,,,,,1.0,,,,,,14.015127955711831,7.819600786710676,0.445928571428571,-8.823049630686839,-71.91527557405887,1,0,50260.381000000016,114.54:439.0;,114.54:439.0;,,0.0,114.54;
